scenario_id,destination,data_grade,approved,purpose,role,device_trust,source_object_id,content_json,expected_baseline,expected_proposed,mode,experiment_run_id,run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,1,C01-r001,200,allow,allow,true,35.494700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,2,C01-r002,200,allow,allow,true,8.105600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,3,C01-r003,200,allow,allow,true,6.701100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,4,C01-r004,200,allow,allow,true,6.051700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,5,C01-r005,200,allow,allow,true,7.571500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,6,C01-r006,200,allow,allow,true,5.438400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,7,C01-r007,200,allow,allow,true,6.095800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,8,C01-r008,200,allow,allow,true,6.445500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,9,C01-r009,200,allow,allow,true,5.791900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,10,C01-r010,200,allow,allow,true,5.319600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,baseline,baseline-20260814T012903Z,11,C01-r011,200,allow,allow,true,6.760300,
